"antiquewhite2"	"black"	"blue"	"blue4"	"blueviolet"	"brown"	"coral"	"coral3"	"cyan"	"darkgreen"	"darkgrey"	"darkmagenta"	"darkolivegreen"	"darkolivegreen2"	"darkorange"	"darkred"	"darkseagreen3"	"darkturquoise"	"deeppink"	"firebrick3"	"green"	"greenyellow"	"grey"	"grey60"	"honeydew"	"indianred3"	"lavenderblush2"	"lightblue4"	"lightcyan"	"lightcyan1"	"lightgreen"	"lightpink2"	"lightpink3"	"lightslateblue"	"lightsteelblue1"	"lightyellow"	"magenta"	"magenta3"	"magenta4"	"mediumpurple1"	"mediumpurple3"	"mediumpurple4"	"midnightblue"	"navajowhite"	"navajowhite1"	"orange"	"orangered1"	"orangered4"	"paleturquoise"	"palevioletred1"	"palevioletred2"	"pink"	"pink4"	"plum1"	"plum4"	"purple"	"red"	"royalblue"	"saddlebrown"	"salmon"	"salmon1"	"salmon2"	"sienna3"	"sienna4"	"skyblue"	"skyblue3"	"skyblue4"	"steelblue"	"tan"	"tan4"	"thistle"	"thistle3"	"thistle4"	"turquoise"	"violet"	"white"	"yellow"	"yellow3"	"yellowgreen"
"11"	64222	3916	10811	3635	29969	8992	79411	23326	57496	205717	6001	100287166	7069	412	3017	257106	51018	2936	11214	5188	1390	4635	11336	64924	23564	56243	7411	57658	55298	57657	57140	54674	23641	56882	3537	79817	100289635	57226	991	53349	9453	1544	4899	330	10491	1303	58480	89782	6474	10062	83394	1577	151195	9819	5986	4707	26574	84851	51035	9755	10806	22832	817	1604	348801	2334	5723	967	51277	1213	51225	79718	26578	7329	338324	8412	3782	9372	79868
"12"	57217	63892	4089	1200	202333	9068	8287	55668	79621	23150	6612	1203	1149	8402	1820	10733	7378	29090	64231	5478	1911	10626	84293	81688	3903	148170	55245	7915	27151	153396	1201	55832	112752	55066	113263	219731	11196	25831	4201	64224	157	80031	9990	29919	440145	2149	1781	27304	3798	9619	3492	3113	9935	158293	11046	4552	22981	200728	389337	27248	285195	23347	50485	56256	1487	6934	7158	80205	22976	259282	4332	8175	50848	493753	9649	10123	6305	157680	57687
"13"	8076	1075	9555	54982	254128	10613	84727	92105	79598	54946	149041	10668	10079	4738	54145	23230	1453	9895	9889	51763	64783	23097	55088	25798	22826	5738	51317	54434	155435	7597	54896	2828	91283	11257	374768	3752	23154	132001	10011	116138	64343	2308	27131	6352	1836	113263	81550	8531	84188	284613	527	24145	55014	90204	2122	60492	84272	30835	100287098	286128	26054	1385	260293	81563	9820	219988	154007	80235	5305	55854	1476	55174	54842	7390	8498	51765	6676	23235	25771
"14"	123775	23261	126308	54976	55486	10116	9086	54675	5140	79893	8766	201965	9590	100129195	24148	66002	10487	55002	10605	23052	221692	55897	7165	647087	25972	23253	55314	8837	79175	2527	25796	4784	25938	10295	10923	137392	157570	6487	51512	5534	79633	80208	83643	256329	26086	89857	55216	10681	163081	114790	26090	2802	23433	79829	10154	51528	5705	283761	64430	5134	91010	6882	5551	129787	22834	51304	80034	221830	54820	196528	55819	27147	4947	57634	126074	2113	9815	10116	113402
"15"	65110	3241	7942	123041	2936	10728	4524	26278	10788	8321	6284	4651	84002	6404	85236	80223	91373	51088	283337	124935	27148	3070	11253	29080	3696	65977	55704	27429	89857	143686	254102	285382	64236	100049716	253430	29937	63923	3221	259266	2098	23164	2055	23435	7673	27253	11214	9990	8202	26996	285961	1718	60489	8813	440823	339290	9423	24139	5599	3035	222484	23306	51111	5034	9205	6421	246330	57568	63826	9179	686	1230	162239	9570	3945	84063	3930	113263	64921	10361
"16"	4915	5226	51335	6670	394	5151	51115	9765	9792	101929747	84320	1060	60481	9040	23352	3707	57724	81573	7008	55256	9354	6873	55041	55449	5137	11034	6391	7705	51091	1829	134218	10486	65268	2224	639	7329	1759	26118	4485	57446	79026	23062	5519	4818	113451	55342	51057	140862	29967	4335	8566	7752	7555	5663	57409	101927018	51317	9718	221935	284323	9516	84991	5479	80210	4123	4283	80321	25942	221092	11313	533	2892	84520	23201	55527	9557	3945	51592	11025
"17"	80830	8725	112770	25962	6138	126119	57547	817	2028	1762	27109	26099	5608	166	5190	79871	51160	11060	1540	7507	5155	135138	23646	2271	5478	4907	10492	55316	56965	9094	10128	734	142678	5192	440193	90799	55833	5584	10403	60485	64710	9978	4311	1466	51686	10231	55290	158402	2200	56261	23385	7321	55364	3549	5654	22977	23423	998	51228	10058	7561	55719	153339	5194	401068	117289	3487	10099	8663	7150	1514	55609	11104	140735	2099	91353	399	55248	7403
"18"	55501	1072	3155	9498	27072	4683	143684	55027	220001	80150	27252	7373	8908	25828	641977	28461	55120	4086	23759	60	645784	7528	9135	55916	51154	57182	51109	153546	10795	85358	84939	23142	58504	56521	2128	91833	6887	29068	9921	6789	3077	128346	11116	10657	6610	1875	9711	134	8829	284098	93589	1482	79038	8202	9904	203523	80179	10220	4204	399473	79109	5797	79930	5529	6774	284106	54567	1659	79877	9686	5879	83989	10015	6633	5948	57489	83548	22873	92521
"19"	80833	331	3191	51497	2070	9475	129642	100505912	159090	79962	57718	6426	9677	10084	57589	11276	8572	4355	7818	27036	26019	100130987	5603	5683	8872	81578	79596	286451	4300	6181	9020	54764	8266	11266	375056	5911	54014	546	90507	8850	91977	2495	3537	926	84695	6003	121506	57606	283788	55153	29960	79184	637	203286	9848	5241	79676	9448	55204	2239	55628	25778	3727	9491	7390	6891	399959	5480	5021	3037	7805	3149	7434	84869	2525	84624	95681	9994	3241
"20"	64805	28987	26610	23408	6917	10971	64864	55907	55196	55847	867	1456	2167	10436	134957	7589	84314	1849	11179	353	7188	65997	3454	28962	9446	51715	150291	5771	2	441212	2771	26959	54935	23382	124540	25831	9045	148534	4013	8837	2565	5710	83636	54836	728215	55294	101928487	23392	4327	989	56647	4683	27229	5862	23097	80143	23170	27293	54344	6002	9540	25936	57381	2776	8733	55275	1277	10783	56985	4664	80054	29893	202374	56655	6670	166378	11214	440574	828
